Dasharo compatibility module,Test ID,Test name,Automation state,v0.1.0,v0.2.0,v0.3.0,v0.4.0,v1.0.0,v1.1.0,v1.1.1,v1.1.2
Dasharo security: UEFI Secure Boot,SBO001.001,Check Secure Boot default state (firmware),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,SBO002.001,UEFI Secure Boot (Ubuntu 22.04),MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,SBO002.002,UEFI Secure Boot (Windows 11),MANUAL,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS,PASS
,SBO003.001,Attempt to boot file with the correct key from Shell (firmware),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,SBO004.001,Attempt to boot file without the key from Shell (firmware),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,SBO005.001,Attempt to boot file with the wrong-signed key from Shell (firmware),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS
,SBO006.001,Reset Secure Boot Keys option availability (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,SBO007.001,Attempt to boot the file after restoring keys to default (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
,SBO008.001,Attempt to enroll the key in the incorrect format (firmware),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
Dasharo security: Measured Boot,MBO001.001,Measured Boot support (ubuntu 22.04),AUTOMATED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS,PASS
Dasharo security: Verified Boot,VBO001.001,Generating keys for Verified Boot,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,VBO002.001,Signing image without rebuild,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,VBO003.001,Flashing device with the signed firmware,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,VBO004.001,Adding keys and building image,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,VBO005.001,Flashing device with built firmware,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT TESTED,NOT TESTED,PASS,NOT TESTED
,VBO006.002,Verified boot support (Ubuntu 22.04),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS
,VBO007.002,Booting from Slot A (Ubuntu 22.04),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS
,VBO008.001,Booting from Recovery (Ubuntu 22.04),MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS
,VBO009.001,Recovery popup is displayed when incorrectly signed firmware is flashed in RW_A,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,VBO010.001,Recovery popup can be skipped,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
,VBO011.001,Recovery popup is not displayed when correctly signed firmware is flashed in RW_A,AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS
Dasharo Performance: coreboot boot measure,CBMEM001.001,Serial boot measure: coreboot booting time after coldboot,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS
,CBMEM002.001,Serial boot measure: coreboot booting time after warmboot,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS
,CBMEM003.001,Serial boot measure: coreboot booting time after system reboot,MANUAL,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,NOT SUPPORTED,PASS,PASS,PASS,PASS
Dasharo compatibility: Dasharo Tools Suite,DTS001.001,Booting DTS from USB works correctly,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,DTS002.001,DTS option Creating Dasharo HCL report works correctly,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,DTS003.001,DTS option power-off DUT works correctly,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,DTS004.001,DTS option reboot DUT works correctly,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,DTS005.001,DTS drop-to-shell option works correctly,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,DTS006.001,Flash device from DTS shell by using flashrom works correctly,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
Dasharo Security: ME neuter,MNE001.001,ME disable option is available and has the correct default state,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,MNE002.001,ME disable option off works correctly (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,MNE003.001,ME disable option soft disable works correctly (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,MNE004.001,ME disable HAP bit option works correctly (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,MNE005.001,PCI Express 5.0 port is functional when ME disabled (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS
Dasharo compatibility: BIOS Setup password,PWS001.001,Check Password Setup option availability and default state,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,PWS002.001,Password setting mechanism correctness checking,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,PWS003.001,Attempt to log in with a correct password,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,PWS004.001,Attempt to log in with an incorrect password,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,PWS005.001,Attempt to log in with an incorrect password 3 times,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,PWS006.001,Attempt to turn off setup password functionality,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,PWS007.001,Attempt to set non-compilant password,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,PWS008.001,Attempt to set old password,MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
Dasharo Compatibility: CPU Status,CPU001.001,CPU works (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,CPU001.002,CPU works (Windows 11),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,PASS
,CPU002.001,CPU cache enabled (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPU002.002,CPU cache enabled (Windows 11),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPU003.001,Multiple CPU support (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPU003.002,Multiple CPU support (Windows 11),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPU004.001,Multiple-core support (Ubuntu 22.04),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPU004.002,Multiple-core support (Windows 11),MANUAL,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
Dasharo Performance: CPU temperature measure,CPT001.001,CPU temperature without load (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
,CPT002.001,CPU temperature after stress test (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
Dasharo Performance: CPU frequency measure,CPF001.001,CPU not stuck on initial frequency (Ubuntu 22.04),AUTOMATED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,NOT TESTED,PASS,PASS,NOT TESTED
