Test name,Test ID,Result,Comments
"F9 resets Enable USB Mass Storage driver option to default",RTD002.001,PASS,
"F9 resets Lock the BIOS boot medium option to default",RTD003.001,PASS,
"F9 resets Enable SMM BIOS write protection to default",RTD004.001,PASS,
"F9 resets Enable network boot to default",RTD006.001,PASS,
"F9 resets Intel ME mode to default",RTD007.001,PASS,
"Check Secure Boot default state (firmware)",SBO001.001,PASS,
"UEFI Secure Boot (Ubuntu)",SBO002.201,PASS,
"UEFI Secure Boot (Windows)",SBO002.301,PASS,
"Attempt to boot file without the key from Shell (firmware)",SBO004.101,PASS,
"Attempt to boot file with the wrong-signed key from Shell (firmware)",SBO005.101,PASS,
"Reset Secure Boot Keys option availability (firmware)",SBO006.101,PASS,
"Attempt to boot the file after restoring keys to default (firmware)",SBO007.101,PASS,
"Attempt to enroll the key in the incorrect format (firmware)",SBO008.101,PASS,
"SD Card reader detection (Ubuntu)",SDC001.201,PASS,
"SD Card reader detection (Windows)",SDC001.301,PASS,
"SD Card read/write (Ubuntu)",SDC002.201,PASS,
"SD Card read/write (Windows)",SDC002.301,PASS,
"CPU clock speed displayed in setup menu",SET001.001,PASS,
"RAM speed displayed in setup menu",SET002.001,PASS,
"RAM size displayed in setup menu",SET003.001,PASS,
"Expected CPU clock speed displayed in setup menu",SET004.001,PASS,
"Expected RAM speed displayed in setup menu",SET005.001,PASS,
"Expected RAM size displayed in setup menu",SET006.001,PASS,
"SMM BIOS write protection enabling (Ubuntu)",SMM001.001,PASS,
"SMM BIOS write protection disabling (Ubuntu)",SMM002.001,PASS,
"Wi-fi connection after cold boot (Ubuntu)",SMW001.201,PASS,
"Wi-fi connection after warm boot (Ubuntu)",SMW002.201,PASS,
"Wi-fi detection after warm boot (Qubes OS)",SMW002.203,PASS,
"Wi-fi connection after reboot (Ubuntu)",SMW003.201,PASS,
"Wi-fi detection after reboot (Qubes OS)",SMW003.203,PASS,
"Wi-fi connection after suspension (Ubuntu)",SMW004.201,PASS,
"Wi-fi detection after suspension (Qubes OS)",SMW004.203,PASS,
"Wi-fi connection after suspension (Ubuntu) (S0ix)",SMW005.201,PASS,
"Wi-fi connection after suspension (Ubuntu) (S3)",SMW006.201,PASS,
"NVMe detection after cold boot (Ubuntu)",SNV0001.001,PASS,
"NVMe detection after cold boot (Qubes OS)",SNV001.203,PASS,
"NVMe detection after warm boot (Ubuntu)",SNV002.201,PASS,
"NVMe detection after warm boot (Qubes OS)",SNV002.203,PASS,
"NVMe detection after reboot (Ubuntu)",SNV003.201,PASS,
"NVMe detection after reboot (Qubes OS)",SNV003.203,PASS,
"NVMe detection after suspension (Ubuntu)",SNV004.201,PASS,
"NVMe detection after suspend (Qubes OS)",SNV004.203,PASS,
"NVMe detection after suspension (Ubuntu) (S3)",SNV006.201,PASS,
"SOL string shows Dasharo firmware and EC version",SOL001.001,PASS,
"SOL string shows information about proprietary EC",SOL002.001,PASS,
"2x S0ix suspend cycle (Battery) (Ubuntu)",SPM001.001,PASS,
"2x S0ix suspend cycle (Battery) (Windows)",SPM001.002,PASS,
"2x S0ix suspend cycle (AC) (Ubuntu)",SPM002.001,PASS,
"2x S0ix suspend cycle (AC) (Windows)",SPM002.002,PASS,
"2x S3 suspend cycle (Battery) (Ubuntu)",SPM003.001,PASS,
"2x S3 suspend cycle (Battery) (Windows)",SPM003.002,PASS,
"2x S3 suspend cycle (Battery) (Qubes OS)",SPM003.003,PASS,
"2x S3 suspend cycle (AC) (Ubuntu)",SPM004.001,PASS,
"2x S3 suspend cycle (AC) (Windows)",SPM004.002,PASS,
"2x S3 suspend cycle (AC) (Qubes OS)",SPM004.003,PASS,
"2x warmboot cycle (Battery) (Ubuntu)",SPM005.001,PASS,
"2x warmboot cycle (Battery) (Windows)",SPM005.002,PASS,
"2x warmboot cycle (Battery) (Qubes OS)",SPM005.003,PASS,
"2x warmboot cycle (AC) (Ubuntu)",SPM006.001,PASS,
"2x warmboot cycle (AC) (Windows)",SPM006.002,PASS,
"2x warmboot cycle (AC) (Qubes OS)",SPM006.003,PASS,
"Verify if no reboot occurs (QubesOS)",STB001.203,PASS,
"Verify if no unexpected boot errors appear in logs (QubesOS)",STB002.203,FAIL,"https://github.com/Dasharo/dasharo-issues/issues/1201"
"USB devices detection after cold boot (Ubuntu)",SUD0001.001,PASS,
"USB devices detection after cold boot (Qubes OS)",SUD0001.002,PASS,
"USB devices detection after warm boot (Qubes OS)",SUD0002.002,PASS,
