Test name,Test ID,Result,Comments
"USB keyboard in OS (Windows)",USB002.301,NOT TESTED,
"Power IS delivered through always-on USB A ports",USC002.001,NOT TESTED,
"Power IS delivered through always-on USB C ports",USC003.001,NOT TESTED,
"Power IS NOT delivered through always-on USB A ports",USC004.001,NOT TESTED,
"Power IS NOT delivered through always-on USB C ports",USC005.001,NOT TESTED,
"Power IS NOT delivered through regular USB A ports",USC006.001,NOT TESTED,
"UEFI Shell",USH001.001,NOT TESTED,
"Enable USB stack (firmware)",USS001.001,NOT TESTED,
"Disable USB stack (firmware)",USS002.001,NOT TESTED,
"Enable USB Mass Storage (firmware)",USS003.001,NOT TESTED,
"Disable USB Mass Storage (firmware)",USS004.001,NOT TESTED,
"USB Type-A charging capability",UTC001.001,NOT TESTED,
"USB Type-A charging capability with ME disabled",UTC001.002,NOT TESTED,
"Thunderbolt 4 USB Type-C power output",UTC002.001,NOT TESTED,
"Thunderbolt 4 USB Type-C power output with ME disabled",UTC002.002,NOT TESTED,
"USB Type-C PD power input (Ubuntu)",UTC003.001,NOT TESTED,
"USB Type-C PD power input (Windows)",UTC003.002,NOT TESTED,
"USB Type-C PD power input with ME disabled(Ubuntu)",UTC003.003,NOT TESTED,
"USB Type-C PD power input with ME disabled(Windows)",UTC003.004,NOT TESTED,
"USB Type-C Display output (Windows)",UTC004.002,NOT TESTED,
"Booting from Slot A (Ubuntu)",VBO007.002,NOT TESTED,
"Booting from Recovery (Ubuntu)",VBO008.001,NOT TESTED,
"Recovery popup is not displayed when correctly signed firmware is flashed in RW_A",VBO011.001,NOT TESTED,
"Self-signed binary is bootable without errors",VBO012.001,NOT TESTED,
"WiFi / BT enable",WBS001.201,NOT TESTED,
"WiFi / BT disable",WBS002.201,NOT TESTED,
"Windows 11 installation and boot",WBT001.001,NOT TESTED,
